File_Name,Vertices,Triangles,Surface_Area,Volume,Width,Height,Depth,File_Size
3DModel.stl,299980,100000,5.2853,0,1.1172,1.2898,1.0983,5000084
Dragon 2.5_stl.stl,113856,37986,11538.2101,0,151.424,98.5465,32.2543,1899384
Dragon 2.5_stl_optimized.stl,51279,17093,10607.0221,0,150.3016,96.497,31.7631,854734
op_dragon.stl,74972,25000,9168.5632,0,150.763,96.86,33.3422,1250084
op_dragon_optimized.stl,33750,11250,8636.6466,0,150.2783,96.4691,33.0531,562584
op_dragon_smoothed.stl,42569,24804,0.0,0,152.2782,98.0712,34.4895,1240284
op_dragon_v1.stl,74181,24804,6188.6961,0,146.5557,93.5198,31.1292,1240284
op_dragon_v10.stl,74412,24804,95665.3814,0,161.0544,107.2252,39.2725,1240284
op_dragon_v11.stl,74972,25000,9168.5632,0,150.763,96.86,33.3422,1250084
op_dragon_v2.stl,74181,24804,6188.6961,0,146.5557,93.5198,31.1292,1240284
op_dragon_v3.stl,74972,25000,9168.5632,0,150.763,96.86,33.3422,1250084
op_dragon_v4.stl,74972,25000,9168.5632,0,150.763,96.86,33.3422,1250084
op_dragon_v5.stl,74972,25000,9168.5632,0,150.763,96.86,33.3422,1250084
op_dragon_v6.stl,74972,25000,9168.5632,0,150.763,96.86,33.3422,1250084
op_dragon_v7.stl,74408,24804,9127.3558,0,150.763,96.86,33.3422,1240284
op_dragon_v8.stl,74412,24804,95665.3814,0,161.0544,107.2252,39.2725,1240284
op_dragon_v9.stl,74408,24804,9127.3558,0,150.763,96.86,33.3422,1240284
repaired_3DModel.stl,486146,167758,5.2509,0,1.1162,1.2902,1.0966,8387984
repaired_Dragon 2.5_stl.stl,97159,39550,10489.7971,0,146.6388,94.9645,31.6514,1977584
repaired_optimized_op_dragon.stl,101657,35926,11411.6448,0,160.8255,104.8755,35.1221,1796384
